			root	root	lambda	lambda	lambda_TBL	lambda_TBL	lambda_omega	lambda_omega	phi_A	phi_A	phi_C	phi_C	phi_G	phi_G	phi_T	phi_T	rho_AC	rho_AC	rho_AG	rho_AG
HSPA4	8	0.2	0.498	(0.012, 1.184)	6.625	(4.231, 9.722)	1.191	(1.024, 1.412)	2.361	(1.731, 3.008)	0.321	(0.294, 0.347)	0.166	(0.152, 0.181)	0.266	(0.247, 0.283)	0.248	(0.233, 0.261)	0.088	(0.079, 0.096)	0.303	(0.265, 0.331)
HSPA4	8	0.5	0.422	(0.014, 0.94)	8.821	(5.841, 12.243)	1.643	(1.379, 2.004)	4.574	(3.702, 5.534)	0.303	(0.277, 0.328)	0.174	(0.161, 0.187)	0.257	(0.24, 0.274)	0.266	(0.25, 0.279)	0.093	(0.085, 0.1)	0.28	(0.253, 0.3)
HSPA4	8	0.8	0.377	(0.007, 0.867)	6.725	(4.841, 8.814)	2.019	(1.755, 2.337)	6.933	(5.984, 7.926)	0.322	(0.294, 0.351)	0.178	(0.168, 0.188)	0.256	(0.234, 0.28)	0.242	(0.226, 0.257)	0.096	(0.085, 0.107)	0.27	(0.239, 0.294)
MEP1A	1	0.2	0.393	(0.017, 0.806)	0.51	(0.266, 0.815)	1.175	(1.009, 1.403)	0.628	(0.527, 0.734)	0.255	(0.23, 0.28)	0.258	(0.241, 0.274)	0.237	(0.219, 0.256)	0.244	(0.223, 0.264)	0.092	(0.082, 0.101)	0.301	(0.279, 0.319)
MEP1A	1	0.5	0.496	(0.055, 0.89)	0.916	(0.536, 1.361)	1.24	(1.026, 1.528)	1.456	(1.169, 1.723)	0.258	(0.24, 0.274)	0.264	(0.247, 0.283)	0.241	(0.223, 0.261)	0.23	(0.214, 0.245)	0.091	(0.079, 0.101)	0.293	(0.254, 0.324)
MEP1A	1	0.8	0.47	(0.027, 0.93)	0.818	(0.44, 1.274)	1.426	(1.127, 1.798)	2.032	(1.577, 2.496)	0.259	(0.239, 0.275)	0.252	(0.238, 0.267)	0.253	(0.238, 0.267)	0.228	(0.201, 0.25)	0.098	(0.089, 0.106)	0.275	(0.243, 0.302)
MEP1A	2	0.2	0.429	(0.021, 0.996)	2.447	(1.679, 3.434)	1.06	(0.912, 1.268)	0.661	(0.553, 0.763)	0.254	(0.234, 0.276)	0.264	(0.245, 0.282)	0.258	(0.244, 0.274)	0.217	(0.2, 0.235)	0.095	(0.085, 0.105)	0.299	(0.273, 0.317)
MEP1A	2	0.5	0.552	(0.037, 1.069)	1.884	(1.312, 2.537)	1.139	(0.953, 1.406)	1.649	(1.348, 1.95)	0.246	(0.232, 0.258)	0.254	(0.237, 0.273)	0.261	(0.246, 0.275)	0.238	(0.222, 0.25)	0.091	(0.083, 0.098)	0.298	(0.268, 0.322)
MEP1A	2	0.8	0.527	(0.043, 1.023)	1.806	(1.233, 2.382)	1.486	(1.061, 2.079)	2.054	(1.584, 2.53)	0.268	(0.25, 0.282)	0.27	(0.255, 0.285)	0.231	(0.219, 0.245)	0.223	(0.206, 0.236)	0.095	(0.085, 0.103)	0.277	(0.236, 0.31)
MEP1A	8	0.2	0.479	(0.013, 1.184)	7.309	(5.63, 9.247)	1.048	(0.907, 1.252)	0.684	(0.589, 0.776)	0.246	(0.229, 0.262)	0.27	(0.255, 0.285)	0.25	(0.233, 0.269)	0.235	(0.218, 0.252)	0.097	(0.086, 0.106)	0.297	(0.272, 0.315)
MEP1A	8	0.5	0.506	(0.027, 1.046)	7.244	(5.821, 8.812)	1.148	(0.97, 1.38)	1.603	(1.262, 1.96)	0.239	(0.226, 0.251)	0.27	(0.254, 0.286)	0.25	(0.239, 0.261)	0.242	(0.228, 0.255)	0.097	(0.088, 0.104)	0.287	(0.257, 0.309)
MEP1A	8	0.8	0.584	(0.089, 1.005)	7.103	(5.218, 9.099)	1.472	(1.264, 1.754)	1.989	(1.607, 2.394)	0.247	(0.233, 0.259)	0.264	(0.252, 0.276)	0.265	(0.249, 0.28)	0.23	(0.219, 0.241)	0.096	(0.089, 0.102)	0.279	(0.241, 0.308)
MYB	1	0.2	0.54	(0.045, 1.024)	1.043	(0.533, 1.736)	1.062	(0.917, 1.249)	0.955	(0.736, 1.182)	0.282	(0.258, 0.305)	0.262	(0.238, 0.288)	0.232	(0.209, 0.255)	0.218	(0.195, 0.241)	0.102	(0.092, 0.114)	0.28	(0.253, 0.304)
MYB	1	0.5	0.501	(0.021, 1.072)	0.771	(0.334, 1.391)	1.404	(1.232, 1.618)	2.022	(1.602, 2.494)	0.263	(0.241, 0.282)	0.26	(0.239, 0.28)	0.244	(0.227, 0.263)	0.223	(0.197, 0.247)	0.102	(0.092, 0.112)	0.272	(0.241, 0.296)
MYB	1	0.8	0.465	(0.018, 1.024)	0.865	(0.402, 1.532)	1.418	(1.238, 1.644)	2.843	(2.297, 3.422)	0.264	(0.238, 0.285)	0.26	(0.24, 0.281)	0.233	(0.218, 0.248)	0.229	(0.207, 0.248)	0.101	(0.09, 0.111)	0.27	(0.239, 0.295)
MYB	2	0.2	0.583	(0.053, 1.07)	1.421	(0.817, 2.23)	1.181	(1.032, 1.377)	0.937	(0.727, 1.165)	0.266	(0.236, 0.293)	0.252	(0.229, 0.278)	0.246	(0.224, 0.268)	0.231	(0.208, 0.253)	0.09	(0.079, 0.103)	0.303	(0.272, 0.328)
MYB	2	0.5	0.472	(0.034, 0.968)	3.431	(1.903, 5.396)	1.218	(1.032, 1.479)	2.002	(1.559, 2.467)	0.263	(0.245, 0.279)	0.268	(0.247, 0.289)	0.24	(0.221, 0.261)	0.222	(0.201, 0.241)	0.107	(0.094, 0.118)	0.264	(0.231, 0.291)
MYB	2	0.8	0.496	(0.016, 1.143)	1.496	(0.698, 2.528)	1.519	(1.271, 1.839)	2.843	(2.369, 3.31)	0.285	(0.259, 0.309)	0.262	(0.242, 0.283)	0.231	(0.215, 0.248)	0.211	(0.182, 0.237)	0.096	(0.085, 0.108)	0.276	(0.243, 0.302)
MYB	8	0.2	0.533	(0.027, 1.125)	10.402	(6.56, 15.383)	0.969	(0.81, 1.182)	1.044	(0.72, 1.404)	0.254	(0.233, 0.274)	0.299	(0.271, 0.332)	0.246	(0.221, 0.272)	0.204	(0.185, 0.225)	0.096	(0.086, 0.106)	0.292	(0.251, 0.323)
MYB	8	0.5	0.443	(0.033, 0.891)	7.965	(5.216, 11.195)	1.255	(1.047, 1.511)	2.108	(1.668, 2.533)	0.271	(0.247, 0.294)	0.255	(0.237, 0.272)	0.246	(0.228, 0.264)	0.227	(0.212, 0.243)	0.098	(0.089, 0.106)	0.281	(0.245, 0.308)
MYB	8	0.8	0.509	(0.03, 1.062)	8.544	(4.595, 14.263)	1.638	(1.444, 1.871)	2.788	(2.325, 3.278)	0.289	(0.269, 0.31)	0.274	(0.253, 0.293)	0.248	(0.23, 0.265)	0.188	(0.171, 0.204)	0.102	(0.094, 0.11)	0.269	(0.239, 0.291)
PDE6A	1	0.2	0.476	(0.022, 1.019)	0.909	(0.529, 1.444)	1.235	(1.023, 1.518)	1.945	(1.568, 2.299)	0.233	(0.207, 0.252)	0.266	(0.251, 0.281)	0.28	(0.264, 0.297)	0.208	(0.186, 0.226)	0.1	(0.089, 0.11)	0.278	(0.244, 0.305)
PDE6A	1	0.5	0.467	(0.029, 0.993)	0.96	(0.487, 1.675)	1.714	(1.36, 2.169)	4.056	(3.324, 4.768)	0.205	(0.179, 0.226)	0.262	(0.246, 0.278)	0.331	(0.316, 0.347)	0.171	(0.127, 0.202)	0.089	(0.078, 0.098)	0.287	(0.238, 0.331)
PDE6A	1	0.8	0.366	(0.046, 0.663)	0.8	(0.411, 1.428)	2.074	(1.7, 2.547)	5.424	(4.624, 6.198)	0.201	(0.168, 0.226)	0.277	(0.259, 0.296)	0.292	(0.276, 0.308)	0.191	(0.15, 0.221)	0.088	(0.079, 0.096)	0.294	(0.26, 0.323)
PDE6A	2	0.2	0.47	(0.03, 0.92)	1.73	(1.137, 2.522)	1.18	(0.959, 1.478)	2.107	(1.657, 2.533)	0.224	(0.199, 0.246)	0.292	(0.269, 0.314)	0.285	(0.262, 0.308)	0.189	(0.17, 0.206)	0.083	(0.074, 0.091)	0.314	(0.282, 0.34)
PDE6A	2	0.5	0.345	(0.033, 0.657)	1.485	(0.934, 2.292)	1.742	(1.42, 2.155)	4.374	(3.796, 4.924)	0.236	(0.207, 0.257)	0.288	(0.27, 0.306)	0.266	(0.255, 0.28)	0.184	(0.167, 0.196)	0.087	(0.078, 0.095)	0.297	(0.255, 0.332)
PDE6A	2	0.8	0.335	(0.018, 0.719)	1.649	(1.119, 2.345)	2.101	(1.806, 2.478)	5.593	(4.937, 6.21)	0.212	(0.18, 0.236)	0.283	(0.262, 0.304)	0.285	(0.275, 0.297)	0.184	(0.158, 0.203)	0.097	(0.089, 0.105)	0.278	(0.248, 0.304)
PDE6A	8	0.2	0.552	(0.017, 1.287)	6.858	(5.049, 9.196)	1.207	(1.005, 1.459)	2.174	(1.731, 2.617)	0.23	(0.213, 0.245)	0.281	(0.266, 0.296)	0.301	(0.282, 0.32)	0.188	(0.173, 0.202)	0.09	(0.08, 0.099)	0.294	(0.255, 0.322)
PDE6A	8	0.5	0.384	(0.04, 0.771)	9.578	(7.388, 12.366)	1.586	(1.36, 1.856)	4.243	(3.801, 4.675)	0.219	(0.203, 0.233)	0.292	(0.281, 0.302)	0.303	(0.285, 0.32)	0.186	(0.178, 0.193)	0.097	(0.086, 0.106)	0.277	(0.243, 0.305)
PDE6A	8	0.8	0.326	(0.01, 0.844)	6.287	(4.861, 7.959)	2.034	(1.819, 2.292)	5.422	(4.673, 6.122)	0.231	(0.215, 0.245)	0.294	(0.275, 0.313)	0.27	(0.256, 0.286)	0.208	(0.201, 0.214)	0.093	(0.084, 0.101)	0.286	(0.269, 0.301)
SEMA3D	1	0.2	0.556	(0.064, 1.033)	0.733	(0.367, 1.23)	1.18	(1.018, 1.39)	1.877	(1.43, 2.338)	0.25	(0.228, 0.268)	0.254	(0.233, 0.274)	0.263	(0.244, 0.284)	0.228	(0.207, 0.245)	0.091	(0.079, 0.103)	0.293	(0.259, 0.318)
SEMA3D	1	0.5	0.558	(0.039, 1.167)	0.879	(0.504, 1.42)	1.524	(1.169, 1.989)	3.484	(2.571, 4.439)	0.237	(0.22, 0.252)	0.249	(0.231, 0.268)	0.27	(0.251, 0.289)	0.219	(0.193, 0.239)	0.097	(0.086, 0.107)	0.273	(0.231, 0.307)
SEMA3D	1	0.8	0.586	(0.026, 1.263)	0.927	(0.547, 1.429)	1.859	(1.407, 2.419)	4.609	(3.762, 5.494)	0.244	(0.214, 0.265)	0.247	(0.234, 0.26)	0.282	(0.26, 0.304)	0.199	(0.165, 0.226)	0.101	(0.091, 0.109)	0.264	(0.222, 0.3)
SEMA3D	2	0.2	0.51	(0.064, 0.961)	1.894	(1.101, 2.948)	1.201	(0.99, 1.454)	1.874	(1.473, 2.279)	0.262	(0.238, 0.281)	0.266	(0.247, 0.285)	0.256	(0.237, 0.277)	0.208	(0.188, 0.225)	0.101	(0.09, 0.11)	0.277	(0.245, 0.302)
SEMA3D	2	0.5	0.469	(0.047, 0.926)	1.928	(1.142, 2.993)	1.564	(1.294, 1.887)	3.306	(2.673, 3.964)	0.261	(0.24, 0.278)	0.232	(0.214, 0.25)	0.28	(0.259, 0.302)	0.213	(0.182, 0.238)	0.096	(0.086, 0.105)	0.275	(0.228, 0.316)
SEMA3D	2	0.8	0.439	(0.038, 0.887)	1.971	(1.228, 2.96)	2.011	(1.541, 2.62)	4.632	(3.905, 5.392)	0.261	(0.244, 0.274)	0.239	(0.223, 0.255)	0.28	(0.262, 0.298)	0.219	(0.195, 0.237)	0.099	(0.093, 0.104)	0.265	(0.221, 0.302)
SEMA3D	8	0.2	0.49	(0.019, 1.039)	6.69	(4.905, 8.658)	1.104	(0.915, 1.368)	1.758	(1.424, 2.102)	0.258	(0.236, 0.28)	0.251	(0.231, 0.274)	0.259	(0.239, 0.277)	0.23	(0.207, 0.253)	0.1	(0.087, 0.112)	0.276	(0.233, 0.311)
SEMA3D	8	0.5	0.601	(0.026, 1.334)	7.718	(6.228, 9.269)	1.528	(1.293, 1.824)	3.371	(2.567, 4.37)	0.256	(0.243, 0.268)	0.256	(0.241, 0.27)	0.285	(0.264, 0.304)	0.207	(0.189, 0.224)	0.1	(0.089, 0.109)	0.267	(0.221, 0.306)
SEMA3D	8	0.8	0.556	(0.033, 1.141)	7.969	(6.569, 9.462)	1.853	(1.619, 2.133)	4.595	(3.628, 5.725)	0.271	(0.26, 0.281)	0.245	(0.229, 0.261)	0.272	(0.254, 0.291)	0.217	(0.202, 0.231)	0.102	(0.095, 0.108)	0.26	(0.232, 0.282)
STRIP1	1	0.2	0.687	(0.009, 1.767)	0.83	(0.535, 1.192)	1.312	(1.126, 1.548)	6.014	(4.76, 7.315)	0.192	(0.173, 0.207)	0.309	(0.285, 0.331)	0.318	(0.286, 0.351)	0.164	(0.14, 0.182)	0.087	(0.076, 0.098)	0.3	(0.263, 0.331)
STRIP1	1	0.5	0.706	(0.008, 1.978)	1.374	(0.815, 2.092)	1.851	(1.613, 2.151)	13.704	(11.955, 15.386)	0.165	(0.128, 0.196)	0.293	(0.273, 0.312)	0.356	(0.33, 0.384)	0.131	(0.104, 0.152)	0.081	(0.068, 0.093)	0.298	(0.249, 0.339)
STRIP1	1	0.8	0.766	(0.002, 2.472)	1.317	(0.98, 1.727)	2.391	(2.189, 2.64)	20.914	(18.294, 23.572)	0.153	(0.104, 0.197)	0.306	(0.289, 0.324)	0.334	(0.309, 0.36)	0.143	(0.096, 0.181)	0.082	(0.073, 0.09)	0.294	(0.242, 0.337)
STRIP1	2	0.2	0.59	(0.007, 1.643)	2.391	(1.608, 3.384)	1.434	(1.221, 1.703)	5.226	(3.948, 6.574)	0.183	(0.161, 0.202)	0.303	(0.283, 0.323)	0.334	(0.309, 0.36)	0.166	(0.144, 0.184)	0.092	(0.079, 0.103)	0.285	(0.252, 0.314)
STRIP1	2	0.5	0.854	(0.003, 2.774)	2.134	(1.467, 2.879)	1.892	(1.62, 2.227)	13.751	(12.008, 15.585)	0.161	(0.126, 0.192)	0.322	(0.298, 0.346)	0.333	(0.312, 0.354)	0.137	(0.107, 0.161)	0.084	(0.071, 0.094)	0.299	(0.237, 0.353)
STRIP1	2	0.8	0.766	(0.001, 2.838)	2.08	(1.599, 2.602)	2.441	(2.233, 2.695)	23.135	(20.012, 26.407)	0.171	(0.129, 0.212)	0.308	(0.292, 0.324)	0.314	(0.296, 0.331)	0.144	(0.111, 0.173)	0.093	(0.079, 0.106)	0.274	(0.218, 0.325)
STRIP1	8	0.2	0.415	(0.029, 0.879)	8.606	(6.547, 11.006)	1.405	(1.15, 1.731)	4.91	(3.992, 5.921)	0.217	(0.199, 0.235)	0.28	(0.265, 0.294)	0.335	(0.317, 0.352)	0.172	(0.163, 0.18)	0.097	(0.086, 0.107)	0.274	(0.235, 0.311)
STRIP1	8	0.5	0.373	(0.007, 0.929)	6.381	(4.635, 8.391)	2.067	(1.857, 2.311)	14.793	(13.665, 15.857)	0.218	(0.195, 0.24)	0.305	(0.282, 0.327)	0.307	(0.296, 0.317)	0.158	(0.138, 0.178)	0.092	(0.085, 0.098)	0.281	(0.251, 0.309)
STRIP1	8	0.8	0.507	(0.01, 1.309)	9.14	(6.383, 12.495)	2.582	(2.434, 2.765)	20.839	(19.585, 22.072)	0.176	(0.151, 0.199)	0.304	(0.295, 0.313)	0.35	(0.34, 0.36)	0.146	(0.121, 0.169)	0.096	(0.085, 0.106)	0.273	(0.226, 0.317)
TNFAIP3	1	0.2	0.468	(0.033, 0.918)	1.045	(0.633, 1.515)	1.172	(0.955, 1.489)	1.518	(1.2, 1.849)	0.205	(0.176, 0.229)	0.317	(0.294, 0.34)	0.278	(0.264, 0.294)	0.185	(0.163, 0.201)	0.096	(0.084, 0.107)	0.287	(0.249, 0.318)
TNFAIP3	1	0.5	0.497	(0.033, 0.957)	0.793	(0.407, 1.245)	1.556	(1.215, 2.006)	2.745	(2.178, 3.317)	0.2	(0.177, 0.216)	0.323	(0.304, 0.341)	0.284	(0.267, 0.302)	0.179	(0.158, 0.195)	0.093	(0.082, 0.104)	0.282	(0.236, 0.318)
TNFAIP3	1	0.8	0.571	(0.046, 1.156)	0.742	(0.407, 1.145)	2.026	(1.748, 2.372)	3.218	(2.667, 3.76)	0.2	(0.176, 0.217)	0.33	(0.312, 0.346)	0.274	(0.25, 0.298)	0.172	(0.154, 0.185)	0.097	(0.086, 0.108)	0.271	(0.228, 0.304)
TNFAIP3	2	0.2	0.435	(0.021, 0.895)	2.544	(1.802, 3.348)	1.13	(0.903, 1.47)	1.417	(1.089, 1.765)	0.201	(0.179, 0.221)	0.313	(0.293, 0.333)	0.303	(0.29, 0.318)	0.176	(0.157, 0.191)	0.101	(0.086, 0.112)	0.275	(0.241, 0.303)
TNFAIP3	2	0.5	0.519	(0.043, 1.005)	1.89	(1.168, 2.713)	1.627	(1.315, 2.07)	2.81	(2.197, 3.4)	0.195	(0.173, 0.213)	0.317	(0.303, 0.332)	0.292	(0.277, 0.307)	0.181	(0.164, 0.193)	0.091	(0.079, 0.102)	0.288	(0.243, 0.325)
TNFAIP3	2	0.8	0.587	(0.047, 1.119)	1.642	(0.85, 2.64)	2.184	(1.841, 2.616)	3.032	(2.382, 3.721)	0.228	(0.209, 0.243)	0.32	(0.309, 0.33)	0.271	(0.255, 0.288)	0.171	(0.154, 0.184)	0.096	(0.085, 0.106)	0.272	(0.222, 0.31)
TNFAIP3	8	0.2	0.514	(0.056, 0.919)	8.097	(6.505, 9.643)	1.127	(0.975, 1.346)	1.558	(1.268, 1.854)	0.223	(0.207, 0.238)	0.323	(0.306, 0.341)	0.27	(0.254, 0.285)	0.185	(0.173, 0.196)	0.099	(0.087, 0.109)	0.284	(0.25, 0.311)
TNFAIP3	8	0.5	0.536	(0.065, 0.949)	9.179	(6.911, 11.557)	1.62	(1.316, 2.041)	2.653	(2.023, 3.284)	0.203	(0.192, 0.213)	0.327	(0.31, 0.343)	0.305	(0.288, 0.325)	0.174	(0.16, 0.185)	0.102	(0.087, 0.115)	0.269	(0.24, 0.291)
TNFAIP3	8	0.8	0.506	(0.06, 0.918)	7.589	(5.224, 10.131)	1.973	(1.722, 2.288)	3.165	(2.674, 3.641)	0.224	(0.214, 0.233)	0.321	(0.306, 0.335)	0.272	(0.257, 0.287)	0.187	(0.181, 0.192)	0.106	(0.097, 0.114)	0.266	(0.243, 0.284)
WDR91	1	0.2	0.435	(0.02, 0.926)	0.814	(0.461, 1.28)	1.291	(1.057, 1.597)	1.859	(1.377, 2.328)	0.165	(0.138, 0.187)	0.314	(0.292, 0.335)	0.341	(0.319, 0.365)	0.159	(0.132, 0.179)	0.087	(0.074, 0.097)	0.304	(0.271, 0.331)
WDR91	1	0.5	0.491	(0.02, 1.028)	1.199	(0.711, 1.83)	1.637	(1.332, 2.028)	3.471	(2.761, 4.173)	0.151	(0.114, 0.177)	0.318	(0.304, 0.333)	0.355	(0.334, 0.375)	0.153	(0.122, 0.176)	0.083	(0.07, 0.093)	0.304	(0.269, 0.332)
WDR91	1	0.8	0.58	(0.01, 1.469)	0.895	(0.463, 1.478)	2.198	(1.8, 2.672)	4.642	(3.974, 5.275)	0.156	(0.118, 0.188)	0.327	(0.31, 0.343)	0.343	(0.328, 0.359)	0.152	(0.112, 0.184)	0.084	(0.07, 0.096)	0.304	(0.261, 0.336)
