	geneID	CpG	mix	mean	quantile	alpha 0.10	alpha 0.05	alpha 0.01	count
27	GPAM	8	mix_2	17.243	(-0.017, 44.492)	87.0	85.0	79.0	100
28	GPAM	1	mix_3	2.032	(-121.76, 94.897)	8.0	8.0	7.0	100
29	GPAM	2	mix_3	25.735	(-133.21, 656.9)	11.0	10.0	9.0	100
30	GPAM	4	mix_3	-5.9	(-125.697, 79.316)	47.0	36.0	21.0	100
31	GPAM	8	mix_3	25.009	(-110.997, 65.072)	68.0	66.0	57.0	100
32	GPAM	1	mix_4	0.02	(-0.017, 0.366)	0.0	0.0	0.0	100
33	GPAM	2	mix_4	0.126	(-0.017, 1.303)	0.0	0.0	0.0	100
34	GPAM	4	mix_4	2.153	(-0.017, 8.749)	15.0	10.0	2.0	100
35	GPAM	8	mix_4	9.389	(-0.008, 25.348)	74.0	64.0	47.0	100
36	GPAM	1	mix_5	3.323	(-0.0, 8.687)	11.0	6.0	2.0	100
37	GPAM	2	mix_5	-1.436	(-0.0, 11.745)	29.0	18.0	8.0	100
38	GPAM	4	mix_5	9.273	(1.432, 28.337)	82.0	76.0	56.0	100
39	GPAM	8	mix_5	18.115	(4.207, 51.303)	97.0	95.0	83.0	100
40	STRIP1	1	mix_1	0.239	(-0.017, 2.637)	1.0	1.0	0.0	100
41	STRIP1	2	mix_1	0.212	(-0.017, 2.643)	1.0	1.0	0.0	100
42	STRIP1	4	mix_1	0.946	(-0.017, 6.462)	7.0	4.0	1.0	100
43	STRIP1	8	mix_1	10.072	(-0.017, 32.42)	65.0	63.0	51.0	100
44	STRIP1	1	mix_2	0.429	(-0.017, 3.132)	1.0	1.0	0.0	100
45	STRIP1	2	mix_2	0.46	(-0.017, 3.178)	0.0	0.0	0.0	100
46	STRIP1	4	mix_2	4.68	(-0.017, 14.738)	43.0	33.0	17.0	100
47	STRIP1	8	mix_2	26.583	(-0.017, 56.823)	92.0	90.0	89.0	100
48	STRIP1	1	mix_3	11.165	(-92.821, 146.359)	9.0	6.0	5.0	100
49	STRIP1	2	mix_3	26.868	(-106.635, 508.135)	14.0	8.0	5.0	100
50	STRIP1	4	mix_3	3.115	(-115.98, 79.768)	67.0	63.0	43.0	100
51	STRIP1	8	mix_3	35.737	(-121.139, 91.447)	94.0	94.0	92.0	100
52	STRIP1	1	mix_4	0.071	(-0.017, 0.895)	0.0	0.0	0.0	100
53	STRIP1	2	mix_4	0.245	(-0.017, 2.595)	0.0	0.0	0.0	100
54	STRIP1	4	mix_4	2.851	(-0.017, 9.955)	26.0	15.0	5.0	100
55	STRIP1	8	mix_4	15.821	(0.496, 41.076)	82.0	81.0	69.0	100
56	STRIP1	1	mix_5	1.358	(-0.0, 9.442)	15.0	9.0	3.0	100
57	STRIP1	2	mix_5	5.608	(-0.0, 13.178)	24.0	14.0	6.0	100
58	STRIP1	4	mix_5	19.687	(3.887, 105.195)	95.0	91.0	74.0	100
59	STRIP1	8	mix_5	31.182	(12.722, 65.801)	99.0	99.0	99.0	100
60	CSRP2BP	1	mix_1	0.159	(-0.016, 1.071)	1.0	1.0	0.0	100
61	CSRP2BP	2	mix_1	0.076	(-0.016, 0.544)	0.0	0.0	0.0	100
62	CSRP2BP	4	mix_1	0.515	(-0.016, 5.802)	4.0	3.0	0.0	100
63	CSRP2BP	8	mix_1	3.192	(-0.016, 16.209)	24.0	20.0	9.0	100
64	CSRP2BP	1	mix_2	0.501	(-0.016, 5.232)	3.0	3.0	0.0	100
65	CSRP2BP	2	mix_2	-8.325	(-0.016, 5.379)	6.0	2.0	0.0	100
66	CSRP2BP	4	mix_2	2.15	(-0.016, 10.219)	15.0	10.0	4.0	100
67	CSRP2BP	8	mix_2	11.032	(-0.016, 24.695)	82.0	73.0	56.0	100
68	CSRP2BP	1	mix_3	-10.406	(-133.009, 126.072)	7.0	5.0	4.0	100
69	CSRP2BP	2	mix_3	3.98	(-146.106, 624.978)	6.0	6.0	6.0	100
70	CSRP2BP	4	mix_3	52.001	(-142.766, 875.778)	29.0	24.0	14.0	100
71	CSRP2BP	8	mix_3	49.418	(-122.544, 1417.576)	57.0	50.0	35.0	100
72	CSRP2BP	1	mix_4	0.085	(-0.016, 0.687)	1.0	0.0	0.0	100
73	CSRP2BP	2	mix_4	0.151	(-0.016, 1.937)	1.0	0.0	0.0	100
74	CSRP2BP	4	mix_4	1.048	(-0.016, 6.506)	6.0	4.0	1.0	100
75	CSRP2BP	8	mix_4	4.442	(-0.0, 13.399)	41.0	28.0	13.0	100
76	CSRP2BP	1	mix_5	-2.483	(-142.717, 11.391)	17.0	14.0	7.0	100
77	CSRP2BP	2	mix_5	-5.039	(-290.058, 16.633)	36.0	28.0	10.0	100
78	CSRP2BP	4	mix_5	35.934	(-194.387, 27.619)	65.0	56.0	40.0	100
79	CSRP2BP	8	mix_5	5.652	(-149.813, 34.67)	91.0	89.0	80.0	100
80	HSPA4	1	mix_1	0.091	(-0.017, 1.541)	0.0	0.0	0.0	100
81	HSPA4	2	mix_1	0.068	(-0.017, 1.002)	0.0	0.0	0.0	100
82	HSPA4	4	mix_1	0.823	(-0.017, 6.578)	6.0	3.0	1.0	100
83	HSPA4	8	mix_1	8.385	(-0.017, 25.313)	58.0	50.0	41.0	100
84	HSPA4	1	mix_2	0.545	(-0.017, 5.136)	5.0	1.0	0.0	100
85	HSPA4	2	mix_2	1.044	(-0.017, 8.199)	9.0	5.0	2.0	100
86	HSPA4	4	mix_2	5.179	(-0.017, 18.065)	45.0	34.0	20.0	100
87	HSPA4	8	mix_2	20.654	(0.492, 48.398)	95.0	90.0	80.0	100
88	HSPA4	1	mix_3	14.006	(-48.932, 4.721)	3.0	3.0	2.0	100
89	HSPA4	2	mix_3	-1.648	(-66.518, 25.721)	6.0	4.0	3.0	100
90	HSPA4	4	mix_3	5.027	(-73.468, 32.239)	63.0	48.0	30.0	100
91	HSPA4	8	mix_3	18.993	(-48.765, 72.238)	92.0	86.0	72.0	100
92	HSPA4	1	mix_4	0.074	(-0.017, 0.743)	0.0	0.0	0.0	100
93	HSPA4	2	mix_4	0.378	(-0.017, 3.799)	1.0	1.0	0.0	100
94	HSPA4	4	mix_4	2.83	(-0.017, 10.201)	22.0	15.0	5.0	100
95	HSPA4	8	mix_4	11.355	(-0.014, 35.272)	69.0	68.0	52.0	100
96	HSPA4	1	mix_5	2.736	(-0.0, 8.101)	12.0	6.0	2.0	100
97	HSPA4	2	mix_5	2.563	(-0.0, 8.196)	24.0	13.0	1.0	100
98	HSPA4	4	mix_5	6.717	(0.101, 20.727)	76.0	68.0	45.0	100
99	HSPA4	8	mix_5	22.509	(4.977, 53.401)	97.0	96.0	86.0	100
100	MEP1A	1	mix_1	0.064	(-0.015, 0.472)	0.0	0.0	0.0	100
101	MEP1A	2	mix_1	0.357	(-0.015, 3.581)	2.0	2.0	1.0	100
102	MEP1A	4	mix_1	0.322	(-0.015, 2.666)	2.0	0.0	0.0	100
103	MEP1A	8	mix_1	8.084	(-0.015, 28.997)	56.0	49.0	33.0	100
104	MEP1A	1	mix_2	0.2	(-0.015, 1.54)	0.0	0.0	0.0	100
105	MEP1A	2	mix_2	0.467	(-0.015, 3.981)	1.0	1.0	0.0	100
106	MEP1A	4	mix_2	4.771	(-0.015, 16.932)	43.0	33.0	16.0	100
107	MEP1A	8	mix_2	15.724	(-0.015, 43.566)	80.0	77.0	69.0	100
108	MEP1A	1	mix_3	-9.757	(-126.235, 52.948)	5.0	5.0	4.0	100
109	MEP1A	2	mix_3	-11.894	(-122.426, 41.223)	7.0	6.0	3.0	100
110	MEP1A	4	mix_3	-14.563	(-122.904, 23.503)	50.0	41.0	19.0	100
111	MEP1A	8	mix_3	2.22	(-106.347, 43.26)	71.0	63.0	47.0	100
112	MEP1A	1	mix_4	0.126	(-0.015, 0.821)	1.0	0.0	0.0	100
113	MEP1A	2	mix_4	0.273	(-0.015, 2.777)	1.0	0.0	0.0	100
114	MEP1A	4	mix_4	2.215	(-0.015, 11.008)	19.0	13.0	5.0	100
115	MEP1A	8	mix_4	7.85	(0.085, 22.839)	63.0	50.0	34.0	100
116	MEP1A	1	mix_5	0.084	(-0.0, 8.776)	18.0	9.0	2.0	100
117	MEP1A	2	mix_5	3.972	(-0.0, 15.72)	35.0	25.0	12.0	100
118	MEP1A	4	mix_5	10.814	(0.701, 25.334)	80.0	69.0	54.0	100
119	MEP1A	8	mix_5	16.047	(4.138, 34.008)	95.0	93.0	82.0	100
120	MYB	1	mix_1	0.07	(-0.015, 0.954)	0.0	0.0	0.0	100
121	MYB	2	mix_1	0.128	(-0.015, 1.639)	1.0	0.0	0.0	100
122	MYB	4	mix_1	0.756	(-0.015, 5.322)	5.0	1.0	0.0	100
123	MYB	8	mix_1	7.898	(-0.015, 24.223)	58.0	52.0	34.0	100
124	MYB	1	mix_2	0.434	(-0.002, 3.729)	1.0	0.0	0.0	100
125	MYB	2	mix_2	0.571	(-0.002, 4.263)	2.0	1.0	0.0	100
126	MYB	4	mix_2	3.134	(-0.001, 11.617)	30.0	19.0	6.0	100
127	MYB	8	mix_2	19.483	(5.114, 44.119)	97.0	94.0	86.0	100
128	MYB	1	mix_3	-2.326	(-67.052, 4.46)	3.0	2.0	2.0	100
129	MYB	2	mix_3	0.446	(-51.34, 6.568)	6.0	3.0	1.0	100
130	MYB	4	mix_3	11.625	(0.016, 30.84)	59.0	46.0	25.0	100
131	MYB	8	mix_3	25.004	(5.049, 58.579)	98.0	96.0	93.0	100
132	MYB	1	mix_4	0.15	(-0.002, 1.406)	0.0	0.0	0.0	100
133	MYB	2	mix_4	0.295	(-0.009, 2.768)	1.0	0.0	0.0	100
134	MYB	4	mix_4	3.056	(-0.001, 12.62)	25.0	17.0	10.0	100
135	MYB	8	mix_4	13.715	(0.063, 38.465)	80.0	75.0	63.0	100
136	MYB	1	mix_5	1.046	(-0.0, 5.852)	5.0	3.0	1.0	100
137	MYB	2	mix_5	2.859	(-0.0, 6.966)	10.0	6.0	1.0	100
138	MYB	4	mix_5	8.968	(0.573, 22.011)	74.0	68.0	42.0	100
139	MYB	8	mix_5	23.978	(5.283, 46.163)	99.0	96.0	88.0	100
140	PDE6A	1	mix_1	0.116	(-0.017, 0.889)	1.0	1.0	0.0	100
141	PDE6A	2	mix_1	0.127	(-0.017, 1.634)	0.0	0.0	0.0	100
142	PDE6A	4	mix_1	1.025	(-0.017, 6.991)	10.0	7.0	0.0	100
143	PDE6A	8	mix_1	8.679	(-0.017, 31.588)	53.0	47.0	37.0	100
144	PDE6A	1	mix_2	0.328	(-0.017, 2.638)	2.0	0.0	0.0	100
145	PDE6A	2	mix_2	0.616	(-0.017, 5.133)	3.0	3.0	0.0	100
146	PDE6A	4	mix_2	4.366	(-0.017, 17.511)	40.0	27.0	13.0	100
147	PDE6A	8	mix_2	20.551	(-0.017, 47.821)	86.0	86.0	84.0	100
148	PDE6A	1	mix_3	2.582	(-124.224, 3.135)	2.0	2.0	2.0	100
149	PDE6A	2	mix_3	-2.627	(-136.591, 327.991)	11.0	8.0	6.0	100
150	PDE6A	4	mix_3	-2.905	(-127.194, 43.28)	63.0	54.0	32.0	100
151	PDE6A	8	mix_3	-2.345	(-118.285, 35.641)	74.0	74.0	65.0	100
152	PDE6A	1	mix_4	0.075	(-0.017, 1.063)	0.0	0.0	0.0	100
153	PDE6A	2	mix_4	0.226	(-0.017, 2.581)	0.0	0.0	0.0	100
154	PDE6A	4	mix_4	2.87	(-0.017, 11.163)	23.0	15.0	5.0	100
155	PDE6A	8	mix_4	10.211	(-0.001, 29.87)	69.0	63.0	48.0	100
156	PDE6A	1	mix_5	-4.378	(-0.0, 11.117)	13.0	7.0	5.0	100
157	PDE6A	2	mix_5	-5.953	(-134.904, 12.435)	31.0	23.0	13.0	100
158	PDE6A	4	mix_5	14.03	(2.479, 30.16)	92.0	86.0	70.0	100
159	PDE6A	8	mix_5	23.159	(6.942, 49.34)	98.0	98.0	93.0	100
160	SEMA3D	1	mix_1	0.091	(-0.016, 1.35)	0.0	0.0	0.0	100
161	SEMA3D	2	mix_1	0.146	(-0.016, 1.716)	0.0	0.0	0.0	100
162	SEMA3D	4	mix_1	0.896	(-0.016, 9.247)	8.0	5.0	3.0	100
163	SEMA3D	8	mix_1	7.748	(-0.016, 26.688)	54.0	48.0	35.0	100
164	SEMA3D	1	mix_2	0.461	(-0.016, 3.934)	3.0	2.0	0.0	100
165	SEMA3D	2	mix_2	0.701	(-0.016, 5.125)	4.0	2.0	2.0	100
166	SEMA3D	4	mix_2	5.309	(-0.016, 16.803)	44.0	36.0	20.0	100
167	SEMA3D	8	mix_2	21.88	(-0.013, 53.846)	92.0	90.0	84.0	100
168	SEMA3D	1	mix_3	23.844	(-88.431, 209.544)	10.0	9.0	9.0	100
169	SEMA3D	2	mix_3	5.318	(-63.072, 25.874)	7.0	5.0	3.0	100
170	SEMA3D	4	mix_3	39.148	(-99.582, 695.341)	57.0	50.0	31.0	100
171	SEMA3D	8	mix_3	27.174	(-91.904, 79.405)	88.0	88.0	84.0	100
172	SEMA3D	1	mix_4	0.087	(-0.016, 0.766)	0.0	0.0	0.0	100
173	SEMA3D	2	mix_4	0.19	(-0.016, 2.308)	0.0	0.0	0.0	100
174	SEMA3D	4	mix_4	2.947	(-0.016, 12.544)	24.2	19.2	7.1	99
175	SEMA3D	8	mix_4	13.545	(0.143, 31.033)	83.0	76.0	59.0	100
176	SEMA3D	1	mix_5	-2.456	(-0.0, 8.969)	14.0	11.0	3.0	100
177	SEMA3D	2	mix_5	2.862	(-0.0, 9.593)	23.0	14.0	4.0	100
178	SEMA3D	4	mix_5	17.048	(1.181, 36.278)	78.0	71.0	51.0	100
179	SEMA3D	8	mix_5	28.632	(4.298, 61.625)	97.0	97.0	94.0	100
180	TNFAIP3	1	mix_1	-0.009	(-0.016, 0.034)	0.0	0.0	0.0	100
181	TNFAIP3	2	mix_1	0.026	(-0.016, 0.122)	0.0	0.0	0.0	100
182	TNFAIP3	4	mix_1	0.707	(-0.016, 6.484)	4.0	3.0	2.0	100
183	TNFAIP3	8	mix_1	7.593	(-0.016, 32.689)	50.0	43.0	35.0	100
184	TNFAIP3	1	mix_2	0.45	(-0.016, 4.222)	3.0	1.0	0.0	100
185	TNFAIP3	2	mix_2	0.462	(-0.016, 3.954)	2.0	1.0	1.0	100
186	TNFAIP3	4	mix_2	2.377	(-0.016, 10.933)	17.0	11.0	5.0	100
187	TNFAIP3	8	mix_2	12.215	(-0.016, 31.991)	77.0	70.0	54.0	100
188	TNFAIP3	1	mix_3	-18.715	(-150.538, 5.764)	4.0	3.0	2.0	100
189	TNFAIP3	2	mix_3	-23.55	(-147.661, 39.801)	5.0	4.0	3.0	100
190	TNFAIP3	4	mix_3	-26.149	(-158.001, 22.226)	30.0	23.0	11.0	100
191	TNFAIP3	8	mix_3	6.146	(-120.083, 36.728)	62.0	55.0	39.0	100
192	TNFAIP3	1	mix_4	0.051	(-0.016, 0.62)	0.0	0.0	0.0	100
193	TNFAIP3	2	mix_4	0.048	(-0.016, 0.797)	0.0	0.0	0.0	100
194	TNFAIP3	4	mix_4	1.999	(-0.016, 11.087)	14.0	10.0	6.0	100
195	TNFAIP3	8	mix_4	4.596	(-0.016, 14.645)	45.0	32.0	14.0	100
196	TNFAIP3	1	mix_5	-0.908	(-0.0, 8.919)	19.0	10.0	2.0	100
197	TNFAIP3	2	mix_5	0.753	(-0.0, 14.631)	33.0	26.0	10.0	100
198	TNFAIP3	4	mix_5	34.275	(1.872, 29.918)	82.0	71.0	59.0	100
199	TNFAIP3	8	mix_5	10.71	(2.112, 32.844)	90.0	83.0	67.0	100
