			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
CSRP2BP	4.0	mix_3	21.547	(15.302, 22.91)	3.138	(2.897, 3.347)	6.335	(0.009, 11.465)	1.455	(0.007, 2.686)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.534	(0.0, 0.629)	0.65	(0.0, 0.727)	0.709	(0.0, 0.786)	0.765	(0.299, 0.836)	0.814	(0.696, 1.0)	0.855	(0.807, 1.0)	0.892	(0.84, 1.0)	0.921	(0.881, 1.0)	0.947	(0.911, 1.0)	0.975	(0.948, 1.0)
CSRP2BP	4.0	mix_4	15.993	(15.335, 16.796)	3.135	(2.829, 3.359)	1.92	(1.672, 2.166)	2.027	(1.682, 2.438)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.124	(0.103, 0.138)	0.23	(0.205, 0.246)	0.311	(0.286, 0.329)	0.383	(0.358, 0.406)	0.451	(0.426, 0.479)	0.518	(0.492, 0.551)	0.587	(0.56, 0.622)	0.661	(0.631, 0.698)	0.745	(0.713, 0.783)	0.857	(0.827, 0.89)
CSRP2BP	4.0	mix_5	19.992	(19.145, 21.168)	3.156	(2.91, 3.392)	3.926	(3.061, 5.082)	1.642	(1.123, 2.244)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.368	(0.336, 0.414)	0.499	(0.479, 0.546)	0.579	(0.562, 0.627)	0.641	(0.619, 0.693)	0.698	(0.668, 0.75)	0.756	(0.721, 0.81)	0.806	(0.767, 0.861)	0.85	(0.81, 0.902)	0.896	(0.858, 0.941)	0.949	(0.921, 0.979)
CSRP2BP	8.0	mix_1	10.926	(10.414, 11.376)	3.101	(2.893, 3.316)	2.913	(2.299, 3.608)	9.811	(7.204, 12.418)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.069	(0.058, 0.081)	0.112	(0.1, 0.125)	0.143	(0.132, 0.156)	0.172	(0.161, 0.184)	0.2	(0.188, 0.214)	0.23	(0.215, 0.245)	0.263	(0.244, 0.282)	0.301	(0.277, 0.326)	0.351	(0.323, 0.386)	0.441	(0.402, 0.489)
CSRP2BP	8.0	mix_2	16.676	(16.108, 17.309)	3.176	(2.946, 3.457)	7.101	(5.142, 10.14)	6.085	(4.319, 8.631)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.315	(0.281, 0.353)	0.396	(0.37, 0.421)	0.446	(0.425, 0.469)	0.487	(0.466, 0.511)	0.524	(0.502, 0.55)	0.559	(0.535, 0.584)	0.596	(0.569, 0.625)	0.635	(0.603, 0.671)	0.683	(0.645, 0.723)	0.756	(0.711, 0.799)
CSRP2BP	8.0	mix_3	21.648	(13.196, 22.914)	3.13	(2.885, 3.303)	5.452	(0.01, 8.463)	1.165	(0.009, 1.934)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.534	(0.0, 0.603)	0.662	(0.0, 0.722)	0.727	(0.0, 0.792)	0.773	(0.0, 0.848)	0.816	(0.259, 0.892)	0.853	(0.393, 0.968)	0.894	(0.753, 0.98)	0.936	(0.894, 1.0)	0.96	(0.923, 1.0)	0.984	(0.959, 1.0)
CSRP2BP	8.0	mix_4	15.985	(15.105, 16.665)	3.138	(2.852, 3.374)	1.776	(1.577, 2.001)	1.745	(1.43, 2.06)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.121	(0.106, 0.137)	0.233	(0.214, 0.257)	0.32	(0.295, 0.349)	0.397	(0.369, 0.432)	0.471	(0.438, 0.51)	0.542	(0.506, 0.585)	0.615	(0.577, 0.659)	0.692	(0.652, 0.736)	0.777	(0.738, 0.819)	0.885	(0.853, 0.919)
CSRP2BP	8.0	mix_5	20.266	(19.338, 21.345)	3.151	(2.97, 3.377)	3.577	(2.857, 4.536)	1.338	(0.912, 1.859)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.38	(0.342, 0.415)	0.529	(0.496, 0.558)	0.616	(0.58, 0.654)	0.683	(0.645, 0.728)	0.739	(0.697, 0.789)	0.789	(0.747, 0.84)	0.834	(0.793, 0.884)	0.877	(0.837, 0.923)	0.92	(0.883, 0.958)	0.966	(0.94, 0.988)
GPAM	1.0	mix_1	7.873	(7.517, 8.29)	3.26	(2.99, 3.556)	4.093	(3.028, 6.19)	16.279	(12.133, 24.609)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.062, 0.096)	0.111	(0.097, 0.129)	0.136	(0.123, 0.152)	0.158	(0.146, 0.171)	0.18	(0.168, 0.191)	0.202	(0.19, 0.213)	0.227	(0.214, 0.239)	0.255	(0.24, 0.271)	0.293	(0.272, 0.313)	0.361	(0.327, 0.39)
GPAM	1.0	mix_2	11.672	(11.204, 12.066)	3.244	(2.998, 3.53)	22.021	(9.717, 63.606)	22.194	(9.512, 64.309)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.364	(0.313, 0.431)	0.413	(0.377, 0.461)	0.443	(0.416, 0.481)	0.467	(0.448, 0.496)	0.488	(0.469, 0.512)	0.51	(0.488, 0.536)	0.531	(0.504, 0.559)	0.555	(0.518, 0.588)	0.585	(0.535, 0.626)	0.634	(0.565, 0.689)
GPAM	1.0	mix_3	15.242	(14.464, 15.984)	3.255	(3.07, 3.487)	27.356	(0.097, 99.0)	6.949	(0.005, 27.023)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.633	(0.548, 0.747)	0.718	(0.648, 1.0)	0.755	(0.698, 1.0)	0.78	(0.732, 1.0)	0.808	(0.761, 1.0)	0.831	(0.78, 1.0)	0.85	(0.796, 1.0)	0.869	(0.811, 1.0)	0.891	(0.823, 1.0)	0.921	(0.843, 1.0)
GPAM	1.0	mix_4	11.272	(10.634, 11.768)	3.209	(2.961, 3.474)	2.054	(1.783, 2.328)	2.33	(1.906, 2.739)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.126	(0.108, 0.153)	0.226	(0.206, 0.257)	0.301	(0.281, 0.332)	0.368	(0.346, 0.399)	0.432	(0.407, 0.464)	0.496	(0.47, 0.529)	0.561	(0.532, 0.6)	0.632	(0.601, 0.674)	0.715	(0.681, 0.755)	0.83	(0.796, 0.866)
GPAM	1.0	mix_5	14.082	(13.505, 14.545)	3.216	(2.954, 3.454)	5.007	(3.572, 7.239)	2.183	(1.421, 3.186)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.401	(0.356, 0.452)	0.524	(0.49, 0.571)	0.595	(0.564, 0.638)	0.65	(0.617, 0.695)	0.698	(0.661, 0.741)	0.741	(0.7, 0.783)	0.783	(0.74, 0.824)	0.825	(0.784, 0.866)	0.87	(0.829, 0.91)	0.927	(0.891, 0.961)
GPAM	2.0	mix_1	8.353	(7.984, 8.674)	3.498	(3.222, 3.808)	3.846	(2.907, 5.297)	14.904	(11.006, 20.352)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.075	(0.061, 0.089)	0.111	(0.098, 0.124)	0.137	(0.126, 0.148)	0.16	(0.15, 0.171)	0.183	(0.172, 0.194)	0.206	(0.194, 0.219)	0.232	(0.219, 0.246)	0.262	(0.246, 0.281)	0.302	(0.28, 0.325)	0.373	(0.339, 0.408)
GPAM	2.0	mix_2	12.34	(11.952, 12.841)	3.538	(3.25, 3.808)	13.385	(8.043, 23.528)	13.02	(7.919, 23.312)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.344	(0.303, 0.396)	0.403	(0.369, 0.438)	0.439	(0.412, 0.464)	0.468	(0.445, 0.492)	0.494	(0.471, 0.518)	0.52	(0.496, 0.545)	0.546	(0.521, 0.569)	0.575	(0.547, 0.6)	0.611	(0.577, 0.64)	0.669	(0.622, 0.708)
GPAM	2.0	mix_3	16.059	(12.834, 16.816)	3.537	(3.297, 3.84)	11.394	(0.055, 35.055)	2.809	(0.006, 8.81)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.585	(0.241, 0.697)	0.695	(0.305, 1.0)	0.739	(0.33, 1.0)	0.772	(0.349, 1.0)	0.799	(0.364, 1.0)	0.842	(0.72, 1.0)	0.876	(0.816, 1.0)	0.898	(0.837, 1.0)	0.922	(0.856, 1.0)	0.952	(0.884, 1.0)
GPAM	2.0	mix_4	11.883	(11.349, 12.506)	3.495	(3.193, 3.767)	1.969	(1.7, 2.316)	2.192	(1.78, 2.717)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.122	(0.104, 0.145)	0.224	(0.204, 0.248)	0.302	(0.279, 0.325)	0.371	(0.345, 0.395)	0.437	(0.407, 0.462)	0.502	(0.466, 0.53)	0.57	(0.528, 0.602)	0.642	(0.598, 0.678)	0.726	(0.68, 0.765)	0.841	(0.797, 0.878)
GPAM	2.0	mix_5	15.008	(14.509, 15.75)	3.495	(3.243, 3.724)	4.381	(3.137, 5.601)	1.853	(1.211, 2.542)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.388	(0.342, 0.43)	0.52	(0.474, 0.55)	0.596	(0.554, 0.627)	0.656	(0.615, 0.689)	0.706	(0.662, 0.741)	0.752	(0.709, 0.794)	0.796	(0.753, 0.84)	0.839	(0.797, 0.883)	0.885	(0.845, 0.927)	0.94	(0.908, 0.972)
GPAM	4.0	mix_1	8.6	(8.109, 9.06)	3.652	(3.365, 3.941)	3.156	(2.362, 4.015)	11.77	(8.544, 14.478)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.067	(0.053, 0.081)	0.106	(0.091, 0.118)	0.134	(0.122, 0.146)	0.16	(0.147, 0.172)	0.185	(0.171, 0.199)	0.212	(0.197, 0.225)	0.241	(0.225, 0.257)	0.275	(0.259, 0.295)	0.321	(0.299, 0.347)	0.402	(0.369, 0.441)
GPAM	4.0	mix_2	12.78	(12.296, 13.318)	3.706	(3.406, 4.058)	8.274	(5.905, 14.265)	7.744	(5.428, 13.756)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.312	(0.276, 0.356)	0.385	(0.355, 0.42)	0.431	(0.402, 0.463)	0.468	(0.44, 0.497)	0.502	(0.474, 0.531)	0.534	(0.505, 0.565)	0.568	(0.538, 0.6)	0.604	(0.568, 0.638)	0.649	(0.609, 0.685)	0.719	(0.669, 0.762)
GPAM	4.0	mix_3	16.838	(16.128, 17.674)	3.683	(3.393, 4.017)	5.635	(0.096, 10.026)	1.305	(0.005, 2.27)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.543	(0.492, 0.609)	0.691	(0.627, 1.0)	0.757	(0.7, 1.0)	0.802	(0.751, 1.0)	0.839	(0.789, 1.0)	0.871	(0.819, 1.0)	0.899	(0.847, 1.0)	0.926	(0.877, 1.0)	0.951	(0.909, 1.0)	0.978	(0.949, 1.0)
GPAM	4.0	mix_4	12.392	(11.743, 12.918)	3.683	(3.386, 3.999)	1.828	(1.618, 2.168)	1.918	(1.641, 2.306)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.119	(0.098, 0.141)	0.225	(0.199, 0.251)	0.307	(0.28, 0.334)	0.381	(0.353, 0.413)	0.451	(0.423, 0.488)	0.521	(0.492, 0.559)	0.592	(0.563, 0.63)	0.667	(0.637, 0.705)	0.753	(0.721, 0.79)	0.866	(0.834, 0.897)
GPAM	4.0	mix_5	15.584	(14.908, 16.232)	3.664	(3.388, 4.0)	3.608	(2.791, 4.714)	1.471	(1.037, 1.959)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.363	(0.326, 0.403)	0.504	(0.478, 0.54)	0.591	(0.561, 0.631)	0.658	(0.627, 0.698)	0.715	(0.682, 0.752)	0.766	(0.731, 0.804)	0.814	(0.777, 0.851)	0.859	(0.823, 0.897)	0.906	(0.873, 0.939)	0.957	(0.933, 0.98)
